,"
",id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,"
",12295,Białystok,2025-05-16,20,5.5,2,190,88.7,10.2,1007
1,"
",12600,Bielsko Biała,2025-05-16,20,6.9,3,230,90.7,2.9,1012.4
2,"
",12235,Chojnice,2025-05-16,20,7.1,5,320,92.6,6.9,1008.3
3,"
",12550,Częstochowa,2025-05-16,20,6.1,1,220,86.9,1.5,1011.2
4,"
",12160,Elbląg,2025-05-16,20,4.8,3,170,99.3,26.1,1002.9
5,"
",12155,Gdańsk,2025-05-16,20,8.3,7,320,94.0,9.4,1003
6,"
",12300,Gorzów,2025-05-16,20,10,3,330,69.8,1.2,1013.5
7,"
",12135,Hel,2025-05-16,20,7.8,8,330,97.3,3.2,1003.2
8,"
",12500,Jelenia Góra,2025-05-16,20,8,3,310,80.6,7.6,1014
9,"
",12435,Kalisz,2025-05-16,20,7.9,4,280,97.3,0.6,1010.1
10,"
",12650,Kasprowy Wierch,2025-05-16,20,-3.6,2,270,100.0,13.6,
11,"
",12560,Katowice,2025-05-16,20,7.5,3,230,94.0,0.4,1011.9
12,"
",12185,Kętrzyn,2025-05-16,20,5.4,2,300,90.6,11.1,1005.2
13,"
",12570,Kielce,2025-05-16,20,2.5,1,330,91.7,0.5,1011.3
14,"
",12520,Kłodzko,2025-05-16,20,7,1,150,92.6,4.2,1013.4
15,"
",12345,Koło,2025-05-16,20,7.9,5,290,80.6,6.2,1008.1
16,"
",12100,Kołobrzeg,2025-05-16,20,10.9,9,310,78.8,2.3,1012.5
17,"
",12105,Koszalin,2025-05-16,20,10,5,330,75.9,1.8,1011.6
18,"
",12488,Kozienice,2025-05-16,20,6.3,2,220,82.7,0.7,1009.4
19,"
",12566,Kraków,2025-05-16,20,7.7,3,230,94.0,4.4,1011.7
20,"
",12670,Krosno,2025-05-16,20,7.4,1,150,79.9,7.4,1011
21,"
",12415,Legnica,2025-05-16,19,11,4,320,63.4,8.5,1012.2
22,"
",12690,Lesko,2025-05-16,20,6.7,1,200,83.9,11.9,1011.6
23,"
",12418,Leszno,2025-05-16,20,9.4,7,310,79.7,4.9,1012.4
24,"
",12125,Lębork,2025-05-16,20,8.2,5,310,87.1,8.7,1007
25,"
",12495,Lublin,2025-05-16,20,5,2,260,88.7,2.2,1010
26,"
",12120,Łeba,2025-05-16,20,8.9,6,340,81.8,4.5,1007.5
27,"
",12465,Łódź,2025-05-16,20,6.8,4,230,90.1,2.2,1009.3
28,"
",12280,Mikołajki,2025-05-16,20,5.6,2,280,90.6,13.5,1005.5
29,"
",12270,Mława,2025-05-16,20,5.4,2,240,93.9,6.3,1006.5
30,"
",12660,Nowy Sącz,2025-05-16,20,8.5,2,260,71.5,4.7,1011
31,"
",12272,Olsztyn,2025-05-16,20,5.3,2,190,95.9,13.2,1005
32,"
",12530,Opole,2025-05-16,20,7.9,2,290,92.0,1.1,1012
33,"
",12285,Ostrołęka,2025-05-16,20,5.9,1,200,88.7,11.3,1006.7
34,"
",12230,Piła,2025-05-16,20,8.8,3,310,80.7,0.7,1010.6
35,"
",12001,Platforma,2025-05-16,20,,22,10,,0,
36,"
",12360,Płock,2025-05-16,20,6.5,3,220,88.8,3.5,1007.5
37,"
",12330,Poznań,2025-05-16,20,8.3,6,290,88.9,2.8,1011.1
38,"
",12695,Przemyśl,2025-05-16,20,7.5,2,250,85.2,11.2,1010.8
39,"
",12540,Racibórz,2025-05-16,20,8,4,260,87.7,1,1012.2
40,"
",12210,Resko,2025-05-16,20,9.4,3,290,79.7,4.8,1012.5
41,"
",12580,Rzeszów,2025-05-16,20,7.9,2,240,84.6,3.9,1010.5
42,"
",12585,Sandomierz,2025-05-16,20,5.5,2,290,82.6,1.6,1010.5
43,"
",12385,Siedlce,2025-05-16,20,5.9,2,210,90.6,6.3,1008.5
44,"
",12310,Słubice,2025-05-16,20,10.3,2,340,69.9,0.5,1014.8
45,"
",12469,Sulejów,2025-05-16,20,5.5,4,220,90.0,3.3,1010
46,"
",12195,Suwałki,2025-05-16,20,5.4,2,130,95.9,6.6,1005.1
47,"
",12205,Szczecin,2025-05-16,20,11.7,4,290,65.8,5.1,1014.1
48,"
",12215,Szczecinek,2025-05-16,20,7.7,4,320,87.0,1.4,1010.4
49,"
",12510,Śnieżka,2025-05-16,20,-1,19,340,99.3,3.6,
50,"
",12200,Świnoujście,2025-05-16,20,12,3,280,58.5,0.7,1014
51,"
",12575,Tarnów,2025-05-16,20,8.1,3,270,87.1,5,1010.7
52,"
",12399,Terespol,2025-05-16,20,5.9,2,190,88.7,0.3,1009.1
53,"
",12250,Toruń,2025-05-16,20,6.9,2,250,92.6,12.7,1007.2
54,"
",12115,Ustka,2025-05-16,20,9.9,12,340,77.5,0,1009.7
55,"
",12375,Warszawa,2025-05-16,20,5.3,1,180,91.9,8.2,1008.4
56,"
",12455,Wieluń,2025-05-16,20,7.5,2,250,87.6,0.1,1010.7
57,"
",12497,Włodawa,2025-05-16,20,6,3,240,86.9,2.7,1009.5
58,"
",12424,Wrocław,2025-05-16,20,9.8,3,290,89.0,10.3,1012.1
59,"
",12625,Zakopane,2025-05-16,20,4.8,1,280,81.9,7.7,
60,"
",12595,Zamość,2025-05-16,20,6,2,260,91.9,4.5,1010.5
61,"
",12400,Zielona Góra,2025-05-16,20,9.2,3,330,72.7,7.9,1013.7
